title,console,genre_x,publisher,developer_x,critic_score,total_sales,release_date_x,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Rating,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,user_score,Title,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players,company,stock
Grand Theft Auto V,PS3,Action,Rockstar Games,Rockstar North,94.0,20.32,2013-09-17,7.02,9.09,0.98,3.96,21.04,50.0,3994.0,M,,,,,,,82.0,Grand Theft Auto V,RockstarNorth,Modern;Action Adventure;Modern;Open-World,PS3,97.0,83.0,Up to 16 ,Take Two Interactive,TTWO
Grand Theft Auto V,PS4,Action,Rockstar Games,Rockstar North,97.0,19.39,2014-11-18,3.96,6.31,0.38,1.97,12.61,66.0,2899.0,M,66.0,0.0,0.0,369.0,71.0,69.0,83.0,Grand Theft Auto V,RockstarNorth,Action Adventure;Modern;Open-World,PS4,97.0,83.0,Up to 30 ,Take Two Interactive,TTWO
Grand Theft Auto: San Andreas,PS2,Action,Rockstar Games,Rockstar North,95.0,20.81,2004-10-26,9.43,0.4,0.41,10.57,20.81,80.0,1588.0,M,,,,,,,90.0,Grand Theft Auto: San Andreas,RockstarNorth,Action Adventure;Modern,PS2,95.0,90.0,1-2 ,Take Two Interactive,TTWO
Uncharted 4: A Thief's End,PS4,Action,Sony Interactive Entertainment,Naughty Dog,92.0,5.38,2016-05-10,1.85,2.5,0.19,0.85,5.38,113.0,7064.0,T,111.0,1.0,1.0,1533.0,148.0,68.0,79.0,Uncharted 4: A Thief's End,NaughtyDog,General;Modern;Action Adventure;Linear,PS4,93.0,83.0,Up to 10 ,Sony,SONY
Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,Rockstar North,96.0,16.15,2002-10-28,8.41,5.49,0.47,1.78,16.15,62.0,730.0,M,,,,,,,87.0,Grand Theft Auto: Vice City,RockstarNorth,Action Adventure;Modern,PS2,95.0,88.0,1 Player,Take Two Interactive,TTWO
Grand Theft Auto V,X360,Action,Rockstar Games,Rockstar North,97.0,15.86,2013-09-17,9.66,5.14,0.06,1.41,16.27,58.0,3711.0,M,,,,,,,81.0,Grand Theft Auto V,RockstarNorth,Modern;Action Adventure;Modern;Open-World,X360,97.0,83.0,Up to 16 ,Take Two Interactive,TTWO
Grand Theft Auto III,PS2,Action,Rockstar Games,DMA Design,95.0,13.1,2001-10-23,6.99,4.51,0.3,1.3,13.1,56.0,664.0,M,,,,,,,85.0,Grand Theft Auto III,DMADesign,Action Adventure;Modern,PS2,97.0,85.0,1 Player,Take Two Interactive,TTWO
Grand Theft Auto V,PC,Action,Rockstar Games,Rockstar North,96.0,1.17,2015-04-14,0.39,0.69,0.0,0.09,1.17,57.0,3756.0,M,56.0,1.0,0.0,407.0,108.0,250.0,79.0,Grand Theft Auto V,RockstarNorth,Modern;Action Adventure;Open-World,PC,96.0,77.0,Up to 32 ,Take Two Interactive,TTWO
Grand Theft Auto IV,X360,Action,Rockstar Games,Rockstar North,100.0,11.09,2008-04-29,6.76,3.07,0.14,1.03,11.01,86.0,2951.0,M,,,,,,,79.0,Grand Theft Auto IV,RockstarNorth,Action Adventure;Modern;Modern;Open-World,X360,98.0,79.0,1 Player,Take Two Interactive,TTWO
Grand Theft Auto IV,PS3,Action,Rockstar Games,Rockstar North,100.0,10.57,2008-04-29,4.76,3.69,0.44,1.61,10.5,64.0,2833.0,M,,,,,,,90.0,Grand Theft Auto IV,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PS3,98.0,75.0,1 Player,Take Two Interactive,TTWO
Uncharted 3: Drake's Deception,PS3,Action,Sony Computer Entertainment,Naughty Dog,93.0,6.74,2011-11-01,2.77,2.75,0.19,1.03,6.74,97.0,3712.0,T,,,,,,,63.0,Uncharted 3: Drake's Deception,NaughtyDog,Action Adventure;Modern;Modern;Linear,PS3,92.0,84.0,Up to 10 ,Sony,SONY
Grand Theft Auto V,XOne,Action,Rockstar Games,Rockstar North,90.0,8.72,2014-11-18,2.81,2.19,0.0,0.47,5.48,14.0,764.0,M,14.0,0.0,0.0,114.0,15.0,13.0,90.0,Grand Theft Auto V,RockstarNorth,Action Adventure;Modern;Open-World,XOne,97.0,78.0,Up to 30 ,Take Two Interactive,TTWO
Grand Theft Auto: Liberty City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,88.0,7.72,2005-10-25,2.9,2.81,0.24,1.73,7.69,65.0,451.0,M,,,,,,,76.0,Grand Theft Auto: Liberty City Stories,RockstarLeeds,Action Adventure;Modern;Modern;Open-World,PSP,88.0,77.0,No Online Multiplayer,Take Two Interactive,TTWO
God of War III,PS3,Action,Sony Computer Entertainment,SCEA Santa Monica Studio,92.0,4.8,2010-03-16,2.74,1.33,0.12,0.61,4.8,101.0,2633.0,M,,,,,,,94.0,God of War III,SCESantaMonica,Action Adventure;Fantasy;Fantasy;Linear,PS3,92.0,88.0,No Online Multiplayer,Sony,SONY
Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,Naughty Dog,95.0,6.74,2009-10-13,3.27,2.2,0.21,0.98,6.66,105.0,5187.0,T,,,,,,,96.0,Uncharted 2: Among Thieves,NaughtyDog,Action Adventure;Modern;Modern;Linear,PS3,96.0,89.0,No Online Multiplayer,Sony,SONY
Red Dead Redemption,PS3,Action,Rockstar Games,Rockstar San Diego,95.0,6.57,2011-10-11,2.79,2.53,0.17,0.99,6.49,73.0,2456.0,M,,,,,,,88.0,Red Dead Redemption,RockstarSanDiego,Action;Shooter;Third-Person;Historic;Action Adventure;Historic;Historic;Open-World,PS3,95.0,89.0,Up to 16 ,Take Two Interactive,TTWO
Red Dead Redemption,X360,Action,Rockstar Games,Rockstar San Diego,95.0,6.5,2010-05-18,3.7,1.95,0.09,0.58,6.32,96.0,2316.0,M,,,,,,,100.0,Red Dead Redemption,RockstarSanDiego,Action;Action Adventure;Shooter;Historic;Historic;Open-World;Third-Person;Historic,X360,95.0,90.0,Up to 16 ,Take Two Interactive,TTWO
Metal Gear Solid 2: Sons of Liberty,PS2,Action,Konami,Konami Computer Entertainment Japan,95.0,6.05,2001-11-12,2.45,2.01,0.87,0.72,6.05,42.0,1026.0,M,,,,,,,70.0,Metal Gear Solid 2: Sons of Liberty,KCEJ,Action Adventure;Modern,PS2,96.0,88.0,1 Player,Konami,9766.T
Metal Gear Solid 4: Guns of the Patriots,PS3,Action,Konami,Kojima Productions,93.0,6.0,2008-06-12,2.63,1.71,0.83,0.82,5.99,82.0,3558.0,M,,,,,,,98.0,Metal Gear Solid 4: Guns of the Patriots,KojimaProductions,Action Adventure;Modern;General;Modern,PS3,94.0,88.0,Up to 16 ,Konami,9766.T
Uncharted: The Nathan Drake Collection,PS4,Action,Sony Computer Entertainment,Bluepoint Games,86.0,5.7,2015-10-07,2.07,1.71,0.08,0.76,4.62,78.0,1264.0,T,76.0,2.0,0.0,191.0,21.0,16.0,81.0,Uncharted: The Nathan Drake Collection,BluepointGames,Miscellaneous;Action Adventure;General;Compilation,PS4,86.0,86.0,not specified,Sony,SONY
Assassin's Creed II,PS3,Action,Ubisoft,Ubisoft Montreal,90.0,5.57,2009-11-17,2.54,1.93,0.21,0.86,5.55,70.0,1202.0,M,,,,,,,86.0,Assassin's Creed II,UbisoftMontreal,Action Adventure;Historic;Historic;Open-World,PS3,91.0,86.0,No Online Multiplayer,Ubisoft,UBSFY
Assassin's Creed,X360,Action,Ubisoft,Ubisoft Montreal,82.0,5.55,2007-11-13,3.28,1.64,0.07,0.56,5.54,77.0,1074.0,M,,,,,,,80.0,Assassin's Creed,UbisoftMontreal,Action Adventure;Historic;Historic;Open-World,X360,81.0,77.0,No Online Multiplayer,Ubisoft,UBSFY
Tomb Raider (2013),PC,Action,Square Enix,Crystal Dynamics,88.0,0.35,2013-03-05,0.06,0.25,0.0,0.04,0.35,18.0,3552.0,M,,,,,,,85.0,,,,,,,,Square Enix,SQNXF
Assassin's Creed II,X360,Action,Ubisoft,Ubisoft Montreal,91.0,5.3,2009-11-17,3.11,1.55,0.08,0.51,5.26,82.0,1305.0,M,,,,,,,88.0,Assassin's Creed II,UbisoftMontreal,Action Adventure;Historic;Historic;Open-World,X360,90.0,88.0,No Online Multiplayer,Ubisoft,UBSFY
Resident Evil 5,PS3,Action,Capcom,Capcom,86.0,5.1,2009-03-13,1.96,1.41,1.08,0.64,5.09,76.0,667.0,M,,,,,,,88.0,Resident Evil 5,Capcom,Action Adventure;Horror;Horror;Survival,PS3,84.0,75.0,2  Online,Capcom,CCOEF
Grand Theft Auto: Vice City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,84.0,5.08,2006-10-31,1.7,1.99,0.16,1.18,5.03,50.0,150.0,M,,,,,,,80.0,Grand Theft Auto: Vice City Stories,RockstarLeeds,Action Adventure;Modern;Modern;Open-World,PSP,86.0,81.0,No Online Multiplayer,Take Two Interactive,TTWO
Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,Naughty Dog,87.0,4.97,2007-11-16,2.31,1.72,0.12,0.77,4.92,66.0,2306.0,T,,,,,,,86.0,Uncharted: Drake's Fortune,"NaughtyDog,SCE/WWS",Action Adventure;Modern;Modern;Linear,PS3,88.0,80.0,No Online Multiplayer,Sony,SONY
Assassin's Creed,PS3,Action,Ubisoft,Ubisoft Montreal,82.0,4.83,2007-11-13,1.91,2.0,0.09,0.82,4.82,40.0,769.0,M,,,,,,,85.0,Assassin's Creed,UbisoftMontreal,Action Adventure;Historic;Historic;Open-World,PS3,81.0,73.0,No Online Multiplayer,Ubisoft,UBSFY
The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,Stormfront Studios,83.0,4.67,2002-10-21,1.94,1.95,0.08,0.7,4.67,32.0,78.0,T,,,,,,,82.0,The Lord of the Rings: The Two Towers,StormfrontStudios,Action;Beat-'Em-Up,PS2,82.0,81.0,1 Player,EA,EA
God of War,PS2,Action,Sony Computer Entertainment,SCEA Santa Monica Studio,93.0,4.45,2005-03-22,2.71,1.29,0.02,0.43,4.45,75.0,997.0,M,,,,,,,89.0,God of War,SCESantaMonica,Action Adventure;Fantasy,PS2,94.0,89.0,1 Player,Sony,SONY
Spider-Man: The Movie,PS2,Action,Activision,Treyarch,82.0,4.48,2002-04-15,2.71,1.51,0.03,0.23,4.48,25.0,41.0,E,,,,,,,79.0,,,,,,,,Activision Blizzard,ATVI
Batman: Arkham Asylum,PS3,Action,Eidos Interactive,Rocksteady Studios,90.0,4.28,2009-08-25,2.24,1.31,0.07,0.61,4.23,70.0,1122.0,T,,,,,,,89.0,Batman: Arkham Asylum,RocksteadyStudios,Action Adventure;Fantasy;General;Fantasy,PS3,91.0,89.0,No Online Multiplayer,Square Enix,SQNXF
God of War II,PS2,Action,Sony Computer Entertainment,SCEA Santa Monica Studio,93.0,4.07,2007-03-13,2.32,0.04,0.04,1.67,4.07,70.0,709.0,M,,,,,,,98.0,God of War II,SCESantaMonica,Action Adventure;Fantasy,PS2,93.0,89.0,1 Player,Sony,SONY
Assassin's Creed: Revelations,PS3,Action,Ubisoft,Ubisoft Montreal,88.0,4.23,2011-11-15,1.41,2.01,0.1,0.7,4.22,39.0,613.0,M,,,,,,,75.0,Assassin's Creed: Revelations,UbisoftMontreal,Action Adventure;Historic;Historic;Open-World,PS3,80.0,76.0,Up to 8 ,Ubisoft,UBSFY
Metal Gear Solid 3: Snake Eater,PS2,Action,Konami,KCEJ / Kojima Productions,90.0,4.23,2004-11-17,1.46,0.0,0.83,1.93,4.23,68.0,955.0,M,,,,,,,93.0,Metal Gear Solid 3: Snake Eater,KCEJ,Action Adventure;Modern,PS2,91.0,90.0,1 Player,Konami,9766.T
Assassin's Creed: Revelations,X360,Action,Ubisoft,Ubisoft Montreal,79.0,4.22,2011-11-15,2.25,1.47,0.04,0.43,4.19,77.0,564.0,M,,,,,,,72.0,Assassin's Creed: Revelations,UbisoftMontreal,Action Adventure;Historic;Historic;Open-World,X360,80.0,72.0,Up to 8 ,Ubisoft,UBSFY
Just Cause 2,PC,Action,Eidos Interactive,Avalanche Studios,82.0,0.12,2010-03-23,0.0,0.1,0.0,0.02,0.12,33.0,838.0,M,,,,,,,77.0,Just Cause 2,AvalancheStudios,Action Adventure;Modern;Modern;Open-World,PC,84.0,77.0,No Online Multiplayer,Square Enix,SQNXF
Assassin's Creed: Unity,PS4,Action,Ubisoft,Ubisoft Montreal,70.0,4.14,2014-11-11,1.19,2.07,0.08,0.62,3.96,40.0,2050.0,M,,,,,,,49.0,,,,,,,,Ubisoft,UBSFY
Harry Potter and the Sorcerer's Stone,PS,Action,Electronic Arts,Argonaut Games,80.0,3.73,2001-11-15,1.37,2.0,0.14,0.22,3.73,11.0,41.0,E,,,,,,,75.0,,,,,,,,EA,EA
Assassin's Creed Syndicate,PS4,Action,Ubisoft,Ubisoft Quebec,86.0,3.6,2015-10-23,0.81,1.99,0.07,0.52,3.39,86.0,1319.0,M,61.0,23.0,2.0,179.0,87.0,34.0,68.0,,,,,,,No Online Multiplayer,Ubisoft,UBSFY
Assassin's Creed: Unity,XOne,Action,Ubisoft,Ubisoft Montreal,72.0,3.58,2014-11-11,2.27,0.9,0.0,0.33,3.5,59.0,1005.0,M,,,,,,,41.0,,,,,,,,Ubisoft,UBSFY
Grand Theft Auto: Liberty City Stories,PS2,Action,Rockstar Games,Rockstar Leeds,83.0,3.54,2006-06-06,1.56,1.4,0.07,0.5,3.54,49.0,112.0,M,,,,,,,78.0,Grand Theft Auto: Liberty City Stories,RockstarLeeds,Action Adventure;Modern,PS2,78.0,78.0,1 Player,Take Two Interactive,TTWO
The Getaway,PS2,Action,Sony Computer Entertainment,Team Soho,77.0,3.54,2003-01-19,1.23,1.77,0.05,0.49,3.54,49.0,88.0,M,,,,,,,68.0,,,,,,,,Sony,SONY
Batman: Arkham Asylum,X360,Action,Eidos Interactive,Rocksteady Studios,91.0,3.54,2009-08-25,2.2,0.95,0.02,0.31,3.48,78.0,1080.0,T,,,,,,,87.0,Batman: Arkham Asylum,RocksteadyStudios,Action Adventure;Fantasy;General;Fantasy,X360,92.0,87.0,No Online Multiplayer,Square Enix,SQNXF
Assassin's Creed: Brotherhood,X360,Action,Ubisoft,Ubisoft Montreal,91.0,3.53,2010-11-16,2.85,0.38,0.03,0.24,3.49,81.0,693.0,M,,,,,,,83.0,Assassin's Creed: Brotherhood,UbisoftMontreal,Action Adventure;Historic;Historic;Open-World,X360,89.0,83.0,Up to 8 ,Ubisoft,UBSFY
Resident Evil 5,X360,Action,Capcom,Capcom,86.0,3.53,2009-03-13,2.11,0.93,0.12,0.34,3.5,91.0,523.0,M,,,,,,,75.0,Resident Evil 5,Capcom,Action Adventure;Horror;Horror;Survival,X360,83.0,75.0,Up to 4 ,Capcom,CCOEF
Grand Theft Auto 2,PS,Action,Rockstar Games,DMA Design,69.0,3.42,1999-10-25,1.13,2.07,0.0,0.22,3.42,15.0,67.0,T,,,,,,,80.0,,,,,,,,Take Two Interactive,TTWO
Spider-Man 2,PS2,Action,Activision,Treyarch,79.0,3.41,2004-06-28,1.75,1.2,0.02,0.43,3.41,50.0,106.0,T,,,,,,,89.0,Spider-Man 2,Treyarch,Action Adventure;Sci-Fi,PS2,80.0,89.0,1 Player,Activision Blizzard,ATVI
Watch Dogs 2,PS4,Action,Ubisoft,Ubisoft,83.0,3.36,2016-11-15,0.37,0.58,0.0,0.18,1.13,88.0,621.0,M,89.0,6.0,0.0,149.0,46.0,15.0,78.0,Watch Dogs 2,UbisoftMontreal,Action Adventure;Open-World,PS4,82.0,78.0,Up to 4 ,Ubisoft,UBSFY
Luigi's Mansion,GC,Action,Nintendo,Nintendo EAD,79.0,3.6,2001-11-17,2.38,0.67,0.46,0.1,3.6,34.0,161.0,E,,,,,,,85.0,Luigi's Mansion,Nintendo,Action Adventure;Fantasy,GC,78.0,85.0,1 Player,Nintendo,NTDOY
The Lord of the Rings: The Return of the King,PS2,Action,Electronic Arts,"Hypnos Entertainment, Inc.",84.0,3.28,2003-11-05,1.5,1.28,0.05,0.46,3.28,31.0,105.0,T,,,,,,,87.0,The Lord of the Rings: The Return of the King,EAGames,Action;Beat-'Em-Up,PS2,85.0,86.0,1-2 ,EA,EA
True Crime: Streets of LA,PS2,Action,Activision,Luxoflux,77.0,3.27,2003-11-03,1.89,1.05,0.02,0.31,3.27,39.0,94.0,M,,,,,,,80.0,,,,,,,,Activision Blizzard,ATVI
