,title,release_date,company,stock,console,genre_x,critic_score,total_sales,user_score
0,007 Racing,2000-11-20,EA,EA,PS,Racing,61.0,0.53,46.0
1,007: The World is not Enough,2000-11-06,EA,EA,PS,Shooter,64.0,0.92,67.0
6,Alice: Madness Returns,2011-06-14,EA,EA,"PS3, X360, PC",Adventure,67.66666666666667,1.21,81.33333333333333
7,Aliens versus Predator: Extinction,2003-07-30,EA,EA,"PS2, XB",Strategy,65.0,0.27,80.5
8,Arena Football,2006-02-07,EA,EA,"PS2, XB",Sports,65.5,0.7100000000000001,85.5
10,Army of Two: The 40th Day,2010-01-12,EA,EA,"X360, PS3, PSP",Shooter,63.333333333333336,2.1599999999999997,67.66666666666667
11,Army of Two: The Devil's Cartel,2013-03-26,EA,EA,"PS3, X360",Shooter,56.0,0.55,64.5
12,Batman Begins,2005-06-14,EA,EA,"PS2, XB, GBA, GC",Action,64.5,1.09,71.25
31,Bionicle,2003-10-20,EA,EA,"PS2, GC, XB",Platform,49.333333333333336,0.7,31.0
33,Boogie,2007-08-07,EA,EA,Wii,Misc,57.0,0.49,53.0
42,Burnout Legends,2005-11-29,EA,EA,DS,Racing,38.0,0.18,60.0
47,Catwoman,2004-07-20,EA,EA,"PS2, GC, XB",Action,48.666666666666664,0.30000000000000004,58.666666666666664
48,Cel Damage,2001-11-14,EA,EA,XB,Racing,57.0,0.12,84.0
49,Cel Damage,2002-01-07,EA,EA,GC,Racing,60.0,0.06,68.0
50,Celebrity Sports Showdown,2008-10-20,EA,EA,Wii,Sports,50.0,0.45,46.0
51,Create,2010-11-16,EA,EA,"PS3, X360, PC",Misc,62.333333333333336,0.36000000000000004,59.333333333333336
57,Dante's Inferno,2010-03-02,EA,EA,PSP,Action,66.0,0.2,81.0
58,Darkspore,2011-04-26,EA,EA,PC,Role-Playing,66.0,0.11,60.0
65,Def Jam Icon,2007-03-06,EA,EA,"PS3, X360",Action,64.5,0.78,53.5
69,Disney's Party,2003-09-16,EA,EA,GC,Misc,44.0,0.05,78.0
73,Drome Racers,2003-09-16,EA,EA,GC,Racing,54.0,0.03,66.0
74,EA Playground,2007-10-22,EA,EA,Wii,Sports,66.0,1.29,76.0
75,EA Playground,2007-10-23,EA,EA,DS,Sports,60.0,0.33,76.0
86,FIFA 06: Road to FIFA World Cup,2005-11-16,EA,EA,X360,Sports,61.0,0.15,60.0
106,FIFA Soccer 13,2012-09-25,EA,EA,PSV,Sports,57.0,0.46,41.0
114,FIFA Street,2005-02-22,EA,EA,"PS2, XB",Sports,59.5,0.41000000000000003,79.5
115,FIFA Street 2,2006-02-28,EA,EA,"PS2, PSP, GC, XB, DS",Sports,55.4,0.74,69.8
116,FIFA Street 3,2008-02-18,EA,EA,"X360, PS3",Sports,63.0,0.66,69.0
118,FIFA World Cup Germany 2006,2006-05-22,EA,EA,PSP,Sports,65.0,0.11,73.0
119,FIFA World Cup: Germany 2006,2006-04-24,EA,EA,GBA,Sports,43.0,0.03,69.0
120,FaceBreaker,2008-09-03,EA,EA,"X360, PS3",Fighting,53.5,0.36,50.5
121,FaceBreaker K.O. Party,2008-11-11,EA,EA,Wii,Fighting,67.0,0.22,56.0
133,From Russia With Love,2006-04-03,EA,EA,PSP,Shooter,61.0,0.08,69.0
134,G.I. Joe: The Rise of Cobra,2009-08-04,EA,EA,"X360, PS3, PS2, DS",Action,47.25,0.73,48.25
135,GoldenEye: Rogue Agent,2004-11-22,EA,EA,"PS2, XB, GC",Shooter,60.0,1.4899999999999998,69.66666666666667
136,GoldenEye: Rogue Agent,2005-06-13,EA,EA,DS,Shooter,58.0,0.11,75.0
140,Harry Potter and the Deathly Hallows - Part 1,2010-11-09,EA,EA,"Wii, X360, DS, PS3",Action,43.25,1.79,47.0
141,Harry Potter and the Deathly Hallows - Part 1,2010-11-16,EA,EA,PC,Action,37.0,0.1,41.0
142,Harry Potter and the Deathly Hallows - Part 2,2011-07-12,EA,EA,"X360, Wii, PS3, PC",Action,45.25,1.09,56.75
143,Harry Potter and the Goblet of Fire,2005-11-08,EA,EA,"PS2, GBA, GC, DS, XB",Adventure,65.8,2.14,61.6
145,Harry Potter and the Half-Blood Prince,2009-06-30,EA,EA,"Wii, DS, PS3, X360, PC",Action,60.4,2.05,56.2
146,Harry Potter and the Order of the Phoenix,2007-06-25,EA,EA,"DS, Wii, PSP, X360, PS2, PS3, PC",Adventure,61.0,2.5200000000000005,68.85714285714286
147,Harry Potter and the Prisoner of Azkaban,2004-05-25,EA,EA,"GBA, PC",Adventure,68.5,0.56,76.5
148,Harry Potter and the Prisoner of Azkaban,2004-06-02,EA,EA,"PS2, GC, XB",Adventure,68.0,1.5899999999999999,82.66666666666667
150,Harry Potter and the Sorcerer's Stone,2003-12-09,EA,EA,"PS2, GC, XB",Action,59.0,0.43000000000000005,73.0
151,Harry Potter: Quidditch World Cup,2003-10-28,EA,EA,"PS2, GC, GBA, XB",Sports,64.5,1.88,77.25
152,Hasbro Family Game Night,2008-11-11,EA,EA,Wii,Misc,63.0,1.43,75.0
153,Hasbro Family Game Night 2,2009-10-27,EA,EA,Wii,Misc,64.0,1.36,63.0
